
Court STF: ff7f5ecd-2cb2-4bbb-bb70-265ea9683863
Total: 169851, Already: 40162
  [08:13:23] 159000/169851 — 159000 ok, 0 err — 13240s (12/s, ETA 15m)
  [08:14:27] 160000/169851 — 160000 ok, 0 err — 13304s (12/s, ETA 14m)
  [08:15:37] 161000/169851 — 161000 ok, 0 err — 13375s (12/s, ETA 12m)
  [08:16:47] 162000/169851 — 162000 ok, 0 err — 13445s (12/s, ETA 11m)
  [08:17:57] 163000/169851 — 163000 ok, 0 err — 13514s (12/s, ETA 10m)
  [08:19:07] 164000/169851 — 164000 ok, 0 err — 13585s (12/s, ETA 8m)
  [08:20:13] 165000/169851 — 165000 ok, 0 err — 13651s (12/s, ETA 7m)
  [08:21:34] 166000/169851 — 166000 ok, 0 err — 13732s (12/s, ETA 5m)
  [08:22:44] 167000/169851 — 167000 ok, 0 err — 13802s (12/s, ETA 4m)
  [08:23:55] 168000/169851 — 168000 ok, 0 err — 13873s (12/s, ETA 3m)
  [08:25:06] 169000/169851 — 169000 ok, 0 err — 13943s (12/s, ETA 1m)
  [08:26:05] 169851/169851 — 169851 ok, 0 err — 14002s (12/s, ETA 0m)

DONE: 169851 processed, 169851 upserted, 0 errors in 14002s
Final: 139737 cases, 224887 decisions
